# gapseq version: 1.1 8d4d2ce
# Sequence DB md5sum: 1139b8e (2022-02-11, Bacteria)
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	36.076	4.48e-79	268	92	NODE_82_length_72191_cov_17.5868 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	54312	52924	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	34.949	5.96e-73	251	94	NODE_54_length_105775_cov_134.398 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	32078	30657	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	34.949	5.85e-73	251	94	NODE_253_length_42714_cov_329.604 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	4008	2587	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	35.152	1.83e-72	249	94	NODE_309_length_39609_cov_13.8946 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	37836	36415	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	34.949	2.11e-72	249	94	NODE_552_length_25579_cov_209.365 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	20918	22339	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	31.557	1.32e-67	235	93	NODE_31_length_108378_cov_19.8333 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	69010	67604	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	31.557	1.29e-67	235	93	NODE_356_length_39002_cov_149.267 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	28453	27047	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	31.557	1.27e-67	235	93	NODE_611_length_26345_cov_363.029 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	15796	14390	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	31.557	1.27e-67	235	93	NODE_543_length_25962_cov_227.047 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	10360	11766	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	27.371	3.52e-43	163	89	NODE_109_length_75869_cov_133.923 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	910	2274	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	27.371	2.93e-43	163	89	NODE_1077_length_18498_cov_20.0899 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	863	2227	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	27.371	2.91e-43	163	89	NODE_995_length_17394_cov_217.7 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	16076	14712	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	27.371	2.90e-43	163	89	NODE_1205_length_16640_cov_319.331 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	15739	14375	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	26.747	1.30e-26	113	79	NODE_26_length_139361_cov_165.664 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	73144	74301	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	26.747	1.29e-26	113	79	NODE_177_length_51709_cov_382.524 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	48255	49412	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	26.747	3.58e-26	112	79	NODE_1524_length_12579_cov_236.202 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	8309	9466	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
ALDXANAU-RXN	chloroacetaldehyde dehydrogenase	1.2.1.4		UniRef90_P37685	26.506	2.05e-25	109	79	NODE_12_length_138683_cov_19.4578 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	72710	73867	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn00507 rxn03455 rxn05880 rxn14071 rxn19116 	NA	0	1
DHLBXANAU-RXN	chloroacetate dehalogenase	3.8.1.3		UniRef90_Q01399	34.081	5.91e-34	127	97	NODE_54_length_105775_cov_134.398 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	80091	79423	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn02050 rxn03599 rxn06154 rxn19881 	NA	0	1
DHLBXANAU-RXN	chloroacetate dehalogenase	3.8.1.3		UniRef90_Q01399	34.081	5.90e-34	127	97	NODE_95_length_67933_cov_16.5986 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	25688	26356	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn02050 rxn03599 rxn06154 rxn19881 	NA	0	1
DHLBXANAU-RXN	chloroacetate dehalogenase	3.8.1.3		UniRef90_Q01399	34.081	5.63e-34	127	97	NODE_2402_length_9181_cov_322.076 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	244	912	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn02050 rxn03599 rxn06154 rxn19881 	NA	0	1
DHLBXANAU-RXN	chloroacetate dehalogenase	3.8.1.3		UniRef90_Q01399	34.081	2.99e-34	127	97	NODE_1618_length_11840_cov_209.961 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	3134	3802	|12DICHLORETHDEG-PWY|	good_blast	NA	rxn02050 rxn03599 rxn06154 rxn19881 	NA	0	1
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26		tr|O24679|O24679_9BURK	30.864	4.84e-51	183	98	NODE_299_length_42184_cov_162.411 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	9471	10676	|14DICHLORBENZDEG-PWY|	good_blast	NA	 	NA	0	1
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26		tr|O24679|O24679_9BURK	30.864	4.67e-51	183	98	NODE_1158_length_17122_cov_382.707 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	11431	10226	|14DICHLORBENZDEG-PWY|	good_blast	NA	 	NA	0	1
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26		tr|O24679|O24679_9BURK	30.617	3.10e-50	181	98	NODE_346_length_34026_cov_246.583 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	8613	9818	|14DICHLORBENZDEG-PWY|	good_blast	NA	 	NA	0	1
DIOXYXANFL-RXN	1,4-dichlorobenzene dioxygenase	1.14.12.26		tr|O24679|O24679_9BURK	30.617	2.60e-50	181	98	NODE_87_length_69674_cov_21.427 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	22852	24057	|14DICHLORBENZDEG-PWY|	good_blast	NA	 	NA	0	1
CHLOROBENDDH-RXN	1,4-dichlorobenzene cis-dihydrodiol dehydrogenase	1.3.1.119	NA	tr|O69264|O69264_9BURK	34.597	6.63e-16	76.3	75	NODE_11_length_139536_cov_20.8128 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	22318	21728	|14DICHLORBENZDEG-PWY|	bad_blast	NA	 	NA	0	NA
CHLOROCATDIOXY-RXN	3,6-dichlorocatechol 1,2-dioxygenase			sp|P27098|TCBC_PSESQ	29.437	1.46e-27	109	89	NODE_219_length_43048_cov_196.437 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	27729	28421	|14DICHLORBENZDEG-PWY|	good_blast	NA	 	NA	0	1
CHLOROCATDIOXY-RXN	3,6-dichlorocatechol 1,2-dioxygenase			sp|P27098|TCBC_PSESQ	29.437	1.46e-27	109	89	NODE_186_length_53027_cov_17.0644 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	25015	24323	|14DICHLORBENZDEG-PWY|	good_blast	NA	 	NA	0	1
CHLOROCATDIOXY-RXN	3,6-dichlorocatechol 1,2-dioxygenase			sp|P27098|TCBC_PSESQ	29.437	1.45e-27	109	89	NODE_567_length_27938_cov_127.04 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	2448	1756	|14DICHLORBENZDEG-PWY|	good_blast	NA	 	NA	0	1
CHLOROCATDIOXY-RXN	3,6-dichlorocatechol 1,2-dioxygenase			sp|P27098|TCBC_PSESQ	29.437	1.45e-27	109	89	NODE_455_length_31137_cov_311.456 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	3407	2715	|14DICHLORBENZDEG-PWY|	good_blast	NA	 	NA	0	1
DIENELACHYDRO-RXN	2-chloro-trans-dienelactone hydrolase	3.1.1.45	NA									|14DICHLORBENZDEG-PWY|	no_blast	NA	rxn02747 rxn03800 rxn03801 rxn04650 rxn04653 rxn07908 rxn07909 rxn15998 rxn16082 rxn16084 rxn31706 rxn31716 	NA	0	NA
CHLOROMALERED-RXN	2-chloromaleylacetate reductase	1.3.1.32		UniRef90_O30847	47.368	1.74e-89	292	86	NODE_219_length_43048_cov_196.437 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	20215	21126	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
CHLOROMALERED-RXN	2-chloromaleylacetate reductase	1.3.1.32		UniRef90_O30847	47.368	5.55e-89	291	86	NODE_186_length_53027_cov_17.0644 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	32526	31615	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
CHLOROMALERED-RXN	2-chloromaleylacetate reductase	1.3.1.32		UniRef90_O30847	47.368	5.49e-89	291	86	NODE_455_length_31137_cov_311.456 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	10918	10007	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
CHLOROMALERED-RXN	2-chloromaleylacetate reductase	1.3.1.32		UniRef90_O30847	47.368	5.47e-89	291	86	NODE_567_length_27938_cov_127.04 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	9959	9048	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		UniRef90_O30847	47.368	1.74e-89	292	86	NODE_219_length_43048_cov_196.437 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	20215	21126	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		UniRef90_O30847	47.368	5.55e-89	291	86	NODE_186_length_53027_cov_17.0644 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	32526	31615	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		UniRef90_O30847	47.368	5.49e-89	291	86	NODE_455_length_31137_cov_311.456 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	10918	10007	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		UniRef90_O30847	47.368	5.47e-89	291	86	NODE_567_length_27938_cov_127.04 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	9959	9048	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		UniRef90_O84992	47.231	4.06e-79	263	85	NODE_219_length_43048_cov_196.437 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	20269	21189	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		UniRef90_O84992	47.231	6.41e-79	262	85	NODE_186_length_53027_cov_17.0644 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	32472	31552	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		UniRef90_O84992	47.231	6.34e-79	262	85	NODE_455_length_31137_cov_311.456 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	10864	9944	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
MALEYLACETATE-REDUCTASE-RXN	2-maleylacetate reductase	1.3.1.32		UniRef90_O84992	47.231	6.32e-79	262	85	NODE_567_length_27938_cov_127.04 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	9905	8985	|14DICHLORBENZDEG-PWY|	good_blast	NA	rxn02141 rxn02142 rxn03656 rxn16086 rxn20159 	NA	0	1
RXN-18360	2,4-dichloro-cis,cis-muconate dehalogenase	5.5.1.11	NA	sp|P27099|TCBD_PSESQ	22.436	1.70e-10	61.6	83	NODE_55_length_81431_cov_236.065 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	68999	69901	|14DICHLORBENZDEG-PWY|	bad_blast	NA	rxn03018 rxn03694 	NA	0	NA
RXN-18361	RXN-18361		NA									|14DICHLORBENZDEG-PWY|	spontaneous	NA	 	NA	0	NA
RXN-18362	RXN-18362		NA									|14DICHLORBENZDEG-PWY|	spontaneous	NA	 	NA	0	NA
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4	NA									|1CMET2-PWY|	no_blast	NA	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit 2	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		UniRef50_A0A1C9W6H2	37.143	6.89e-25	101	71	NODE_50_length_108954_cov_135.441 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	98745	98221	|1CMET2-PWY|	good_blast	NA	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit undefined	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		UniRef50_A0A1C9W6H2	37.143	6.80e-25	101	71	NODE_562_length_28528_cov_15.0112 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	10209	10733	|1CMET2-PWY|	good_blast	NA	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit undefined	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		UniRef50_A0A1C9W6H2	37.143	6.76e-25	101	71	NODE_826_length_21649_cov_307.794 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	18365	17841	|1CMET2-PWY|	good_blast	NA	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit undefined	0	1
DIHYDROFOLATEREDUCT-RXN	dihydrofolate reductase	1.5.1.3/1.5.1.4		UniRef50_A0A1C9W6H2	36.571	2.06e-24	100	71	NODE_753_length_21573_cov_189.383 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	18320	17796	|1CMET2-PWY|	good_blast	NA	rxn00684 rxn00685 rxn00686 rxn00687 rxn01601 rxn01602 rxn12649 rxn14120 rxn32434 	Subunit undefined	0	1
5-FORMYL-THF-CYCLO-LIGASE-RXN	5-formyltetrahydrofolate cyclo-ligase	6.3.3.2	NA	UniRef90_P0AC29	31.492	3.25e-18	80.1	99	NODE_751_length_21622_cov_221.295 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	21120	20596	|1CMET2-PWY|	bad_blast	NA	rxn01653 	NA	0	NA
1.5.1.20-RXN	5,10-methylenetetrahydrofolate reductase	1.5.1.20/1.1.1.171	NA									|1CMET2-PWY|	no_blast	NA	rxn00909 rxn00910 rxn04954 rxn31870 	Subunit 2	0	1
1.5.1.20-RXN	5,10-methylenetetrahydrofolate reductase	1.5.1.20/1.1.1.171	NA									|1CMET2-PWY|	no_blast	NA	rxn00909 rxn00910 rxn04954 rxn31870 	Subunit 3	0	1
1.5.1.20-RXN	5,10-methylenetetrahydrofolate reductase	1.5.1.20/1.1.1.171		UniRef90_G2IQS8	31.295	3.04e-46	165	94	NODE_291_length_43176_cov_137.639 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	4957	4124	|1CMET2-PWY|	good_blast	NA	rxn00909 rxn00910 rxn04954 rxn31870 	Subunit undefined	0	1
1.5.1.20-RXN	5,10-methylenetetrahydrofolate reductase	1.5.1.20/1.1.1.171		UniRef90_G2IQS8	31.295	2.77e-46	165	94	NODE_3461_length_6239_cov_323.477 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1283	2116	|1CMET2-PWY|	good_blast	NA	rxn00909 rxn00910 rxn04954 rxn31870 	Subunit undefined	0	1
1.5.1.20-RXN	5,10-methylenetetrahydrofolate reductase	1.5.1.20/1.1.1.171		UniRef90_G2IQS8	31.295	6.66e-46	164	94	NODE_3127_length_6043_cov_197.217 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	1247	2080	|1CMET2-PWY|	good_blast	NA	rxn00909 rxn00910 rxn04954 rxn31870 	Subunit undefined	0	1
1.5.1.20-RXN	5,10-methylenetetrahydrofolate reductase	1.5.1.20/1.1.1.171		UniRef90_G2IQS8	31.295	4.54e-46	164	94	NODE_3636_length_6079_cov_15.6338 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	4805	3972	|1CMET2-PWY|	good_blast	NA	rxn00909 rxn00910 rxn04954 rxn31870 	Subunit undefined	0	1
HOMOCYSMETB12-RXN	cobalamin-dependent methionine synthase	2.1.1.13		tr|I7E0U3|I7E0U3_PHAIB	68.693	8.36e-128	402	93	NODE_3461_length_6239_cov_323.477 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	2156	3010	|1CMET2-PWY|	good_blast	NA	rxn00693 rxn16206 rxn33979 	NA	0	1
HOMOCYSMETB12-RXN	cobalamin-dependent methionine synthase	2.1.1.13		tr|I7E0U3|I7E0U3_PHAIB	68.693	7.34e-128	402	93	NODE_3636_length_6079_cov_15.6338 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	3933	3079	|1CMET2-PWY|	good_blast	NA	rxn00693 rxn16206 rxn33979 	NA	0	1
HOMOCYSMETB12-RXN	cobalamin-dependent methionine synthase	2.1.1.13		tr|I7E0U3|I7E0U3_PHAIB	68.693	7.34e-128	402	93	NODE_3127_length_6043_cov_197.217 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	2120	2974	|1CMET2-PWY|	good_blast	NA	rxn00693 rxn16206 rxn33979 	NA	0	1
HOMOCYSMETB12-RXN	cobalamin-dependent methionine synthase	2.1.1.13		tr|I7E0U3|I7E0U3_PHAIB	68.693	1.19e-127	402	93	NODE_291_length_43176_cov_137.639 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	4084	3230	|1CMET2-PWY|	good_blast	NA	rxn00693 rxn16206 rxn33979 	NA	0	1
HOMOCYSMETB12-RXN	cobalamin-dependent methionine synthase	2.1.1.13		tr|I7EYQ6|I7EYQ6_PHAIB	84.259	8.38e-118	368	93	NODE_142_length_58798_cov_13.7564 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	24803	24156	|1CMET2-PWY|	good_blast	NA	rxn00693 rxn16206 rxn33979 	NA	0	1
HOMOCYSMETB12-RXN	cobalamin-dependent methionine synthase	2.1.1.13		tr|I7EYQ6|I7EYQ6_PHAIB	84.259	8.37e-118	368	93	NODE_192_length_56143_cov_123.865 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	21980	21333	|1CMET2-PWY|	good_blast	NA	rxn00693 rxn16206 rxn33979 	NA	0	1
HOMOCYSMETB12-RXN	cobalamin-dependent methionine synthase	2.1.1.13		tr|I7EYQ6|I7EYQ6_PHAIB	84.259	8.37e-118	368	93	NODE_158_length_55358_cov_305.903 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	21376	20729	|1CMET2-PWY|	good_blast	NA	rxn00693 rxn16206 rxn33979 	NA	0	1
HOMOCYSMETB12-RXN	cobalamin-dependent methionine synthase	2.1.1.13		tr|I7EYQ6|I7EYQ6_PHAIB	84.259	8.37e-118	368	93	NODE_127_length_55251_cov_195.616 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	33875	34522	|1CMET2-PWY|	good_blast	NA	rxn00693 rxn16206 rxn33979 	NA	0	1
HOMOCYSMETB12-RXN	cobalamin-dependent methionine synthase	2.1.1.13		tr|I7EW88|I7EW88_PHAIB	57.049	1.65e-112	358	90	NODE_142_length_58798_cov_13.7564 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	25972	25058	|1CMET2-PWY|	good_blast	NA	rxn00693 rxn16206 rxn33979 	NA	0	1
HOMOCYSMETB12-RXN	cobalamin-dependent methionine synthase	2.1.1.13		tr|I7EW88|I7EW88_PHAIB	57.049	1.65e-112	358	90	NODE_127_length_55251_cov_195.616 [matched=9] [unmatched=0] [degenerate=0] [unbinned=0]	32706	33620	|1CMET2-PWY|	good_blast	NA	rxn00693 rxn16206 rxn33979 	NA	0	1
